brand,product_line,record_scope,nominal_shade,measured_vlt_pct,vlr_exterior_pct,vlr_interior_pct,uv_rejection,tser_pct,tser_range,glare_reduction_pct,ir_primary_metric,ir_primary_value,ir_primary_wavelength_nm,ir_secondary_metric,ir_secondary_value,ir_secondary_wavelength_nm,solar_transmittance_pct,solar_reflectance_pct,solar_absorbance_pct,shading_coefficient,shgc,thickness_mil,construction,warranty,substrate,test_standard,source_kind,source_url,source_date,verified_at,data_status,notes
KDX,Stellar Ceramic,shade,50,49,8,,>=99,53,,,IRR,90,900-1000,IRER,67,780-2500,,,,,,2.0,ceramic,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Stellar Ceramic,shade,70,70,9,,>=99,44,,,IRR,88,900-1000,IRER,66,780-2500,,,,,,2.0,ceramic,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Stellar Ceramic,shade,80,80,10,,>=99,28,,,IRR,61,900-1000,IRER,34,780-2500,,,,,,2.0,ceramic,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
HITEK,Standard Black,shade,5,5,,,99,42,,95,,,,,,,49,,,,,dyed,5 year,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Standard Black,shade,15,16,,,99,41,,82,,,,,,,45,,,,,dyed,5 year,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Standard Black,shade,20,20,,,99,40,,78,,,,,,,46,,,,,dyed,5 year,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Standard Black,shade,30,32,,,99,37,,65,,,,,,,42,,,,,dyed,5 year,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Standard Black,shade,35,35,,,99,37,,62,,,,,,,41,,,,,dyed,5 year,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Standard Black,shade,40,43,,,99,34,,53,,,,,,,37,,,,,dyed,5 year,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Standard Black,shade,50,50,,,99,30,,45,,,,,,,32,,,,,dyed,5 year,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Classic Black,shade,5,5,,,99,42,,95,,,,,,,49,,,,,dyed,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Classic Black,shade,15,16,,,99,41,,82,,,,,,,45,,,,,dyed,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Classic Black,shade,20,20,,,99,40,,78,,,,,,,46,,,,,dyed,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Classic Black,shade,30,32,,,99,37,,65,,,,,,,42,,,,,dyed,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Classic Black,shade,35,35,,,99,37,,62,,,,,,,41,,,,,dyed,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Classic Black,shade,40,43,,,99,34,,53,,,,,,,37,,,,,dyed,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Classic Black,shade,50,50,,,99,30,,45,,,,,,,32,,,,,dyed,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Hybrid,shade,5,5,,,99,61,,94,IR Rejection,42,,,,,,,,,,,metalized,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Hybrid,shade,10,10,,,99,53,,89,IR Rejection,42,,,,,,,,,,,metalized,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Hybrid,shade,20,20,,,99,51,,78,IR Rejection,42,,,,,,,,,,,metalized,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Hybrid,shade,30,28,,,99,43,,69,IR Rejection,32,,,,,,,,,,,metalized,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Hybrid,shade,40,39,,,99,41,,57,IR Rejection,32,,,,,,,,,,,metalized,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Hybrid,shade,45,44,,,99,39,,52,IR Rejection,32,,,,,,,,,,,metalized,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Hybrid,shade,50,54,,,99,34,,41,IR Rejection,32,,,,,,,,,,,metalized,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Carbon IR,shade,5,5,,,99,61,,95,IR Rejection,62,,,,,,,,,,,nano-carbon,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Carbon IR,shade,15,15,,,99,53,,83,IR Rejection,48,,,,,,,,,,,nano-carbon,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Carbon IR,shade,20,20,,,99,50,,77,IR Rejection,44,,,,,,,,,,,nano-carbon,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Carbon IR,shade,35,35,,,99,41,,58,IR Rejection,40,,,,,,,,,,,nano-carbon,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Carbon IR,shade,40,40,,,99,36,,55,IR Rejection,39,,,,,,,,,,,nano-carbon,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Carbon IR,shade,50,51,,,99,32,,42,IR Rejection,35,,,,,,,,,,,nano-carbon,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Ceramic IR,shade,5,5,,,99,65,,95,IR Rejection,75,,,,,,,,,,,ceramic,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Ceramic IR,shade,15,15,,,99,60,,83,IR Rejection,73,,,,,,,,,,,ceramic,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Ceramic IR,shade,20,19,,,99,55,,77,IR Rejection,72,,,,,,,,,,,ceramic,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Ceramic IR,shade,35,36,,,99,50,,58,IR Rejection,75,,,,,,,,,,,ceramic,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Ceramic IR,shade,40,39,,,99,47,,55,IR Rejection,73,,,,,,,,,,,ceramic,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Ceramic IR,shade,50,51,,,99,43,,42,IR Rejection,70,,,,,,,,,,,ceramic,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
HITEK,Ceramic IR,shade,70,68,,,99,35,,41,IR Rejection,73,,,,,,,,,,,ceramic,Lifetime,,,manufacturer_spec_card,https://hitekfilms.com/automotive-window-tint/,,2026-08-12,verified,
